
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. sha256_system, 2009, 1585, 677, 0, 0, 0, 0, 4, 1
.	. AHB_slave_dummy, 15, 21, 0, 0, 0, 0, 0, 0, 0
.	. SHA256_Module, 1952, 1425, 677, 0, 0, 0, 0, 1, 0
.	.	. SHA256_BLOCK, 1689, 1224, 677, 0, 0, 0, 0, 1, 0
.	.	.	. gv_sha256, 1117, 827, 645, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_control, 93, 59, 69, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_hash_core, 256, 290, 224, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_kt_rom, 0, 237, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_msg_sch, 512, 125, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_padding, 0, 116, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_regs, 256, 0, 256, 0, 0, 0, 0, 0, 0
.	.	.	. limiter_1cycle, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. limiter_1cycle_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_17x32, 527, 359, 0, 0, 0, 0, 0, 0, 0
.	.	.	. sha256_controller, 43, 38, 32, 0, 0, 0, 0, 1, 0
.	.	. reg1_highonly, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. reg9_1x32, 262, 199, 0, 0, 0, 0, 0, 0, 0
.	.	.	. mux_9_1, 0, 195, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32, 33, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_1, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_2, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_3, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_4, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_5, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_6, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_7, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_8, 5, 2, 0, 0, 0, 0, 0, 0, 0
.	. sha256_system_sb, 42, 139, 0, 0, 0, 0, 0, 3, 0
.	.	. CoreAHBLite, 33, 105, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16, 33, 105, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_2_1_0_1_0, 25, 57, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_1, 8, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_0, 7, 16, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. sha256_system_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. sha256_system_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. sha256_system_sb_MSS, 0, 32, 0, 0, 0, 0, 0, 0, 0
